"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","11","475-1410-1-ND","LG R971-KN-1","LED GREEN DIFFUSED 0805 SMD","","11","0","0.19100","2.10"
"2","11","475-1415-1-ND","LH R974-LP-1","LED RED DIFFUSED 0805 SMD","","11","0","0.19100","2.10"
"3","11","ATSAMD51J19A-MUTCT-ND","ATSAMD51J19A-MUT","IC MCU 32BIT 512KB FLASH 64VQFN","","11","0","4.34000","47.74"
"4","22","399-15378-1-ND","C0603C220J8GAC7867","CAP CER 22PF 10V NP0 0603","","22","0","0.12600","2.77"
"5","44","445-5985-1-ND","C2012X5R1E106M125AB","CAP CER 10UF 25V X5R 0805","","44","0","0.26600","11.70"
"6","11","620-ACS724LLCTR-05AB-TCT-ND","ACS724LLCTR-05AB-T","SENSOR CURRENT HALL","","11","0","4.19500","46.15"
"7","22","399-7842-1-ND","C0603C103M5RACTU","CAP CER 10000PF 50V X7R 0603","","22","0","0.03500","0.77"
"8","11","445-5952-1-ND","C1608X7R1H474K080AC","CAP CER 0.47UF 50V X7R 0603","","11","0","0.19000","2.09"
"9","22","311-1429-1-ND","CC0603KRX7R9BB333","CAP CER 0.033UF 50V X7R 0603","","22","0","0.05800","1.28"
"10","11","296-20629-1-ND","SN74LVC1T45DRLR","IC TRNSLTR BIDIRECTIONAL 6SOT","","11","0","0.49500","5.45"
"11","11","MBR120VLSFT3GOSCT-ND","MBR120VLSFT3G","DIODE SCHOTTKY 20V 1A SOD123FL","","11","0","0.31200","3.43"
"12","11","LM2678SX-5.0/NOPBCT-ND","LM2678SX-5.0/NOPB","IC REG BUCK 5V 5A TO263-7","","11","0","5.23600","57.60"
"13","11","WM1399CT-ND","1050170001","CONN RCPT USB2.0 MICRO B SMD R/A","","11","0","0.80100","8.81"
"14","11","587-1613-1-ND","CBC2518T100M","FIXED IND 10UH 680MA 468 MOHM","","11","0","0.20700","2.28"
"15","11","568-15069-1-ND","MC33932VWR2","IC MOTOR DRIVER PAR 44HSOP","","11","0","13.03800","143.42"
"16","11","XC1617CT-ND","ECS-.327-12.5-34B-TR","CRYSTAL 32.7680KHZ 12.5PF SMD","","11","0","0.44800","4.93"
"17","11","490-4520-1-ND","GRM188R71A225KE15D","CAP CER 2.2UF 10V X7R 0603","","11","0","0.18500","2.04"
"18","11","DMP3056L-7DICT-ND","DMP3056L-7","MOSFET P-CH 30V 4.3A SOT23","","11","0","0.31300","3.44"
"19","11","296-17988-1-ND","PCA9306DCUR","IC TRNSLTR BIDIRECTIONAL 8VSSOP","","11","0","0.58100","6.39"
"20","11","AP2112K-3.3TRG1DICT-ND","AP2112K-3.3TRG1","IC REG LINEAR 3.3V 600MA SOT25","","11","0","0.35500","3.91"
"21","11","1428-1123-1-ND","ICM-20948","IMU ACCEL/GYRO/COMPI2C/SPI 24QFN","","11","0","6.26700","68.94"
"22","33","311-10KGRCT-ND","RC0603JR-0710KL","RES SMD 10K OHM 5% 1/10W 0603","","33","0","0.01900","0.63"
"23","22","311-470GRCT-ND","RC0603JR-07470RL","RES SMD 470 OHM 5% 1/10W 0603","","22","0","0.01900","0.42"
"24","11","RR08P100KDCT-ND","RR0816P-104-D","RES SMD 100K OHM 0.5% 1/16W 0603","","11","0","0.09300","1.02"
"25","11","311-200KHRCT-ND","RC0603FR-07200KL","RES SMD 200K OHM 1% 1/10W 0603","","11","0","0.02300","0.25"
"26","11","RR08P300KDCT-ND","RR0816P-304-D","RES SMD 300K OHM 0.5% 1/16W 0603","","11","0","0.09300","1.02"
"27","22","P2.2KGCT-ND","ERJ-3GEYJ222V","RES SMD 2.2K OHM 5% 1/10W 0603","","22","0","0.04500","0.99"
"28","11","311-84.5KHRCT-ND","RC0603FR-0784K5L","RES SMD 84.5K OHM 1% 1/10W 0603","","11","0","0.02300","0.25"
"29","55","399-1100-1-ND","C0603C104Z3VACTU","CAP CER 0.1UF 25V Y5V 0603","","55","0","0.03200","1.76"
"30","88","1276-1861-1-ND","CL10A105KL8NNNC","CAP CER 1UF 35V X5R 0603","","88","0","0.12900","11.35"
"31","22","LP2985IM5-1.8/NOPBCT-ND","LP2985IM5-1.8/NOPB","IC REG LINEAR 1.8V 150MA SOT23-5","","22","0","0.66700","14.67"
"32","44","A129681CT-ND","CRGCQ0603F270R","CRGCQ 0603 270R 1%","","44","0","0.03000","1.32"
"33","22","1189-3642-ND","25ZLQ180MEFC6.3X11","CAP ALUM 180UF 20% 25V T/H","","22","0","0.20700","4.55"
"34","33","P15801CT-ND","EEA-GA1E150H","CAP ALUM 15UF 20% 25V RADIAL","","33","0","0.18500","6.11"
"35","11","2100LL-220-V-RC-ND","2100LL-220-V-RC","FIXED IND 22UH 7.5A 12 MOHM TH","","11","0","3.20900","35.30"
"36","11","1655-1921-1-ND","90SQ045TA","DIODE SCHOTTKY 45V 9A DO201AD","","11","0","0.34000","3.74"
"37","22","455-1723-ND","S6B-PH-K-S(LF)(SN)","CONN HEADER R/A 6POS 2MM","","22","0","0.28500","6.27"