kora-bot-shield BOM,,,,,,
Item #,Ref. Des,Qty.,Mfg. Part # (DIGIKEY),Description/Value,Package,Type
1,STAT,1,LH R974-LP-1,RED LED,0805,SMT
2,ACT,1,LG R971-KN-1,GREEN LED,0805,SMT
3,"C1,C5,C7,C22,C25,C26,C29,C30",8,CL10A105KL8NNNC,1 UF CER CAP,0603,SMT
4,"C2,C4",2,C0603C220J8GAC7867,22 PF CER CAP,0603,SMT
5,"C3,C6,C21,C28",4,C2012X5R1E106M125AB,10 UF CER CAP,0805,SMT
6,C13,1,C1608X7R1H474K080AC,0.47 UF CER CAP,0603,SMT
7,"C14,C20",2,C1608C0G1V103J080AC,10000 PF CER CAP,0603,SMT
8,"C15,C16,C17,C18,C27",5,C0603C104Z3VACTU,0.1 UF CER CAP,0603,SMT
9,C19,1,GRM188R71A225KE15D,2.2 UF CER CAP,0603,SMT
10,"C23,C24",2,CC0603KRX7R9BB333,0.033 UF CER CAP,0603,SMT
11,U6,1,PCA9306DCUR,IC TRNSLTR BIDIRECTIONAL,8VSSOP,SMT
12,U5,1,ICM-20948,IMU ACCEL/GYRO/COMPI2C/SPI,24QFN,SMT
13,U3,1,AP2112K-3.3TRG1,IC REG LINEAR 3.3V 600MA,SOT25,SMT
14,U2,1,LP2985IM5-1.8/NOPB,IC REG LINEAR 1.8V 150MA ,SOT23-5,SMT
15,U1,1,ACS724LLCTR-05AB-T,SENSOR CURRENT HALL,8-SOIC,SMT
16,U8,1,MC33932VWR2,IC MOTOR DRIVER,44HSOP,SMT
17,L2,1,CBC2518T100M,FIXED IND 10UH 680MA 468 MOHM,1007,SMT
18,J5,1,1050170001,CONN RCPT USB2.0 MICRO B SMD R/A,N/A,SMT
19,U9,1,LM2678SX-5.0/NOPB,IC REG BUCK 5V 5A,TO263-7,SMT
20,D4,1,MBR120VLSFT3G,DIODE SCHOTTKY 20V 1A ,SOD123FL,SMT
21,U4,1,â€ŽATSAMD51J19A-MUT,IC MCU 32BIT 512KB FLASH,64VQFN,SMT
22,U7,1,SN74LVC1T45DRLR,IC TRNSLTR BIDIRECTIONAL ,6SOT,SMT
23,Q3,1,DMP3056L-7,MOSFET P-CH 30V 4.3A,SOT23,SMT
24,X2,1,ECS-.327-12.5-34B-TR,CRYSTAL 32.7680KHZ 12.5PF SMD,N/A (3.2mm x 1.5mm),SMT
25,"R1,R2,R12",3,RC0603JR-0710KL,RES SMD 10K OHM 5% 1/10W ,0603,SMT
26,"R3,R6",2,RC0603JR-07470RL,RES SMD 470 OHM 5% 1/10W ,0603,SMT
27,R11,1,RR0816P-104-D,RES SMD 100K OHM 0.5% 1/16W ,0603,SMT
28,R13,1,RC0603FR-07200KL,RES SMD 200K OHM 1% 1/10W ,0603,SMT
29,R4,1,RR0816P-304-D,RES SMD 300K OHM 0.5% 1/16W ,0603,SMT
30,"R14,R15",2,ERJ-3GEYJ222V,RES SMD 2.2K OHM 5% 1/10W ,0603,SMT
31,"R7.R8,R9,R10",4,CRGCQ0603F270R,RES SMD 270 OHM 1%,0603,SMT
32,R5,1,RC0603FR-0784K5L,RES SMD 84.5K OHM 1% 1/10W ,0603,SMT